;PENADOS;;PENADOS C/PREVENTIVA;;MEDIDA DE SEGURIDAD;;PREVENTIVOS;;TOTAL GENERAL
Centro penitenciario;HOMBRES;MUJERES;HOMBRES;MUJERES;HOMBRES;MUJERES;HOMBRES;MUJERES;
"Almería ""El Acebuche""";503;51;14;0;0;0;235;12;815
Cádiz. Algeciras;1081;91;25;1;2;0;330;15;1545
Cádiz. Puerto I;151;0;1;0;0;0;2;0;154
Cádiz. Puerto II;463;17;37;0;2;0;280;0;799
Cádiz. Puerto III;1215;137;7;1;2;1;66;25;1454
"Centro de Inserción Social  Algeciras ""Manuel Montesinos y Molina""";205;8;0;0;0;0;0;0;213
"Centro de Inserción Social Granada ""Matilde Cantos Fernandez""";204;31;0;0;0;0;0;0;235
"Centro de Inserción Social Huelva ""David Beltrán""";120;9;0;0;0;0;0;0;129
"Centro de Inserción Social Málaga ""Evaristo Martín Nieto""";381;81;0;0;0;0;0;0;462
"Centro de Inserción Social Sevilla ""Luis Gimenez de Asúa""";259;30;0;0;0;0;0;0;289
Córdoba;1441;83;23;0;2;0;98;6;1653
Granada. Albolote;1177;159;24;1;8;0;154;23;1546
Huelva;1223;64;7;0;1;0;120;5;1420
Jaén;489;36;7;0;7;0;59;6;604
Málaga;813;52;48;3;8;0;463;44;1431
Sevilla;911;7;24;0;3;0;263;4;1212
Sevilla hospital psiquiátrico penitenciario;7;0;0;0;159;0;12;0;178
Sevilla II. Morón de la Frontera;1428;0;7;0;4;0;26;0;1465
Sevilla. Alcalá de Guadaira;0;138;0;1;0;0;0;24;163
Andalucía;12071;994;224;7;198;1;2108;164;15767
Teruel;194;0;1;0;1;0;11;0;207
Zaragoza (Zuera);1190;110;27;1;0;0;161;15;1504
Zaragoza. Daroca;525;0;1;0;0;0;2;0;528
Aragón;1909;110;29;1;1;0;174;15;2239
Villabona;1187;110;14;1;4;1;114;6;1437
Asturias, Principado de ;1187;110;14;1;4;1;114;6;1437
"Centro de Inserción Social Mallorca ""Joaquin Ruiz Jiménez""";113;26;0;0;0;0;0;0;139
Ibiza;46;6;5;0;0;0;79;3;139
Mallorca;1105;66;18;2;3;0;214;24;1432
Menorca;58;2;4;0;0;0;15;1;80
Balears, Illes;1322;100;27;2;3;0;308;28;1790
"Centro de Inserción Social Tenerife ""Mercedes Pinto""";144;30;0;0;0;0;0;0;174
Lanzarote (Arrecife);332;22;8;0;1;0;62;4;429
Las Palmas;906;15;17;0;4;0;219;2;1163
Las Palmas II;611;74;0;1;2;0;19;46;753
Santa Cruz de la Palma;49;0;1;0;0;0;19;0;69
Tenerife. El Rosario;694;81;16;0;1;0;286;42;1120
Canarias;2736;222;42;1;8;0;605;94;3708
"Santoña  ""El Dueso""";550;24;10;0;2;0;56;7;649
Cantabria;550;24;10;0;2;0;56;7;649
Ávila;1;174;0;2;0;0;0;7;184
Burgos;431;0;7;0;0;0;53;0;491
León. Mansilla de las Mulas;1039;90;17;0;3;0;60;5;1214
Palencia (La Moraleja);1165;0;18;0;3;0;52;0;1238
Salamanca. Topas;1071;56;11;0;1;0;42;2;1183
Segovia;360;2;2;0;16;0;38;0;418
Soria;152;0;2;0;0;0;19;0;173
Valladolid;414;38;3;0;0;0;48;10;513
Castilla y León;4633;360;60;2;23;0;312;24;5414
Albacete;208;19;6;0;0;0;87;9;329
C. Real. Alcázar de San Juan;77;0;0;0;1;0;1;0;79
C. Real. Herrera de la Mancha;418;4;8;0;0;0;83;0;513
Cuenca;99;6;4;0;0;0;28;0;137
Toledo. Ocaña I;372;0;7;0;6;0;89;0;474
Toledo. Ocaña II;424;0;1;0;1;0;9;0;435
Castilla-La Mancha;1598;29;26;0;8;0;297;9;1967
Barcelona hombres;590;0;0;0;5;0;1001;0;1596
Barcelona jóvenes;238;0;0;0;0;0;124;0;362
Barcelona mujeres;196;161;0;0;0;0;0;109;466
Brians 1;1111;256;0;0;18;12;26;30;1453
Brians 2;1443;0;0;0;5;0;20;0;1468
Figueres;82;2;0;0;0;0;116;0;200
Girona;86;5;0;0;0;0;51;9;151
LLedoners;785;0;0;0;0;0;5;0;790
Ponent;748;43;0;0;1;0;113;9;914
Cuatre Camins;1693;0;0;0;8;0;25;0;1726
R. abierto LLeida;131;9;0;0;0;0;0;0;140
S. A. Barcelona hombres;199;0;0;0;0;0;0;0;199
S. A. Barcelona hombres-2;177;0;0;0;0;0;0;0;177
Tarragona;250;18;0;0;1;0;130;0;399
Cataluña ;7729;494;0;0;38;12;1611;157;10041
Alicante;404;55;34;2;0;0;380;21;896
Alicante hospital psiquiátrico penitenciario;16;3;0;0;266;32;2;1;320
Alicante II. Villena;966;67;6;0;2;0;75;6;1122
Castellón;537;73;6;2;4;0;46;9;677
Castellón II. Albocaser;1400;0;9;0;1;0;20;0;1430
"Centro de Inserción Social Valencia ""Torre Espioca""";397;52;0;0;0;0;1;0;450
Valencia. Picassent;1508;206;60;3;6;1;454;52;2290
Comunitat Valenciana;5228;456;115;7;279;33;978;89;7185
Badajoz;590;28;8;0;3;0;111;10;750
Cáceres;419;20;5;1;1;0;60;7;513
Extremadura;1009;48;13;1;4;0;171;17;1263
A Coruña (Teixeiro);949;62;28;3;2;0;114;16;1174
"Centro de Inserción Social A Coruña ""Carmela Arias y Díaz de Rábago";152;27;0;0;1;0;0;0;180
Lugo. Bonxe;224;15;6;0;2;0;37;1;285
Lugo. Monterroso;228;0;1;0;0;0;10;0;239
Ourense;305;16;6;0;1;0;36;3;367
Pontevedra. A Lama;1186;57;19;2;1;0;120;9;1394
Galicia;3044;177;60;5;7;0;317;29;3639
"Centro de Inserción Social Alcalá de Henares ""Melchor Rodriguez Garcia""";224;31;0;0;0;0;0;0;255
"Centro de Inserción Social Navalcarnero ""Josefina Aldecoa""";168;29;0;0;0;0;0;0;197
Centro de Inserción Social Victoria Kent;389;117;0;0;0;0;0;0;506
Madrid I mujeres. Alcalá de Henares;0;281;0;6;0;0;0;253;540
Madrid II. Alcalá de Henares;480;0;19;0;1;0;278;0;778
Madrid III. Valdemoro;743;0;22;0;8;0;389;0;1162
Madrid IV. Navalcarnero;994;1;15;0;4;0;140;0;1154
Madrid V. soto del real;723;53;62;2;5;0;798;33;1676
Madrid VI. Aranjuez;1118;56;24;1;2;0;214;20;1435
Madrid VII. Estremera;960;154;23;1;7;1;292;20;1458
Madrid, Comunidad de ;5799;722;165;10;27;1;2111;326;9161
"Centro de Inserción Social Murcia ""Guillermo Miranda""";176;30;0;0;0;0;0;0;206
Murcia;247;0;21;0;0;0;235;0;503
Murcia II;828;67;8;0;1;0;27;16;947
Murcia, Región de ;1251;97;29;0;1;0;262;16;1656
Pamplona I;212;21;7;1;0;0;69;7;317
Navarra, Comunidad Foral de;212;21;7;1;0;0;69;7;317
Araba/Alava;561;83;9;1;4;0;62;6;726
Guipuzcoa. San Sebastián (Martutene);258;25;8;0;0;0;49;4;344
Vizcaya. Basauri;256;13;7;0;0;0;58;0;334
Pais Vasco;1075;121;24;1;4;0;169;10;1404
Logroño;296;15;8;0;0;0;47;3;369
Rioja, La;296;15;8;0;0;0;47;3;369
Ceuta;111;14;3;0;0;0;133;7;268
 Ceuta;111;14;3;0;0;0;133;7;268
Melilla;220;15;0;0;0;0;86;2;323
 Melilla;220;15;0;0;0;0;86;2;323
Administración General del Estado;44.251;3.635;856;39;569;36;8.317;853;58.556
Comunidad Autónoma de Cataluña;7.729;494;0;0;38;12;1.611;157;10.041
Total Nacional;51.980;4.129;856;39;607;48;9.928;1.010;68.597
